idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
17,2.1604102794562726e-22,true,4,false,0.0002032,"[10.243053496530708, 1.0364840432023845]","[-1.3972500397371668, -1.1529219835943225]",0,236
18,1.0733044294840212e-22,true,4,false,0.0003624,"[10.243053496692667, 1.0364840431925804]","[-0.27322961221704645, -0.5101173409267433]",0,236
19,1.4958090325599351e-22,true,4,false,0.0002773,"[10.243053496622915, 1.036484043196803]","[-1.7983567634893314, 0.8231200506166791]",0,236
20,1.1900433460331584e-22,true,4,false,0.0002583,"[10.243053496672275, 1.036484043193815]","[-0.6634712267123949, -0.2399591176621829]",0,236
1,2.887434412581636e-23,true,4,false,0.0003809,"[11.374941674565875, 0.666934374735085]","[0.03833248646601629, 0.213845359778582]",0,237
2,3.910385015062547e-23,true,4,false,0.0002664,"[11.374941674600372, 0.6669343747329474]","[-0.7042838077754542, -0.4007992090593657]",0,237
3,1.688851876661676e-23,true,4,false,0.000233,"[11.374941674516204, 0.666934374738163]","[1.4214984593810815, -0.5777261953257666]",0,237
4,3.8074469735489133e-23,true,4,false,0.0002284,"[11.3749416745972, 0.6669343747331438]","[-0.4658959078249555, -0.7303008298610437]",0,237
5,6.046695998322713e-23,true,4,false,0.0002174,"[11.374941674660105, 0.6669343747292459]","[-1.365080912437378, -1.3208174975844296]",0,237
6,2.3664866176938162e-23,true,4,false,0.0002206,"[11.374941674545834, 0.6669343747363267]","[0.5431992343373382, 0.09271546518564394]",0,237
7,2.8458139760071606e-23,true,4,false,0.0002235,"[11.374941674564365, 0.6669343747351786]","[-0.7590535993444354, 0.9209639329677229]",0,237
8,4.3087418453461673e-23,true,4,false,0.0002215,"[11.374941674612558, 0.6669343747321923]","[0.745620993889791, -2.216096423049429]",0,237
9,2.1366970515690543e-23,true,4,false,0.0005306,"[11.37494167453632, 0.6669343747369165]","[0.8442354651341021, -0.3265277272261217]",0,237
10,3.040787954192271e-23,true,4,false,0.0002678,"[11.374941674571346, 0.666934374734746]","[-1.0120757369891493, 1.1470306234136702]",0,237
11,2.4181596797761352e-23,true,4,false,0.0002427,"[11.374941674547966, 0.6669343747361947]","[0.7232770971838263, -0.728534008508048]",0,237
12,1.553585081521965e-23,true,4,false,0.0002333,"[11.374941674509715, 0.666934374738565]","[0.5202990342876057, 1.1204520037446837]",0,237
13,7.507064899378884e-24,true,4,false,0.0002192,"[11.374941674462498, 0.6669343747414908]","[1.6996228215478644, 1.0844860147154771]",1,237
14,4.317915548659413e-23,true,4,false,0.0002217,"[11.37494167461288, 0.6669343747321721]","[-1.0989445324831357, -0.0993402202293609]",0,237
15,1.503784731281632e-23,true,4,false,0.0002309,"[11.374941674507141, 0.6669343747387244]","[1.5447563259135333, -0.22651795438142638]",0,237
16,1.8518981228976655e-23,true,4,false,0.0002206,"[11.374941674523752, 0.6669343747376951]","[1.7376928272513674, -1.2953938355637125]",0,237
17,5.700205298945267e-23,true,4,false,0.0002268,"[11.374941674651318, 0.6669343747297904]","[-1.3972500397371668, -1.1529219835943225]",0,237
18,3.422130794277987e-23,true,4,false,0.0002205,"[11.374941674584573, 0.6669343747339264]","[-0.27322961221704645, -0.5101173409267433]",0,237
19,4.2334029984588656e-23,true,4,false,0.0002604,"[11.374941674610211, 0.6669343747323376]","[-1.7983567634893314, 0.8231200506166791]",0,237
20,3.791870893661677e-23,true,4,false,0.0002695,"[11.374941674596622, 0.6669343747331797]","[-0.6634712267123949, -0.2399591176621829]",0,237
1,5.2823768973698976e-23,true,4,false,0.0004125,"[10.640230702197323, 1.0189632143370582]","[0.03833248646601629, 0.213845359778582]",0,238
2,7.80034526584648e-23,true,4,false,0.0002926,"[10.640230702138737, 1.0189632143405933]","[-0.7042838077754542, -0.4007992090593657]",0,238
3,3.0233112638123075e-23,true,4,false,0.0002572,"[10.6402307022638, 1.018963214333047]","[1.4214984593810815, -0.5777261953257666]",0,238
4,7.802456476994248e-23,true,4,false,0.0002387,"[10.640230702138776, 1.0189632143405911]","[-0.4658959078249555, -0.7303008298610437]",0,238
5,1.4291616038017628e-22,true,4,false,0.0002315,"[10.640230702021217, 1.0189632143476848]","[-1.365080912437378, -1.3208174975844296]",0,238
6,4.2153241196515634e-23,true,4,false,0.0002278,"[10.640230702226466, 1.0189632143352996]","[0.5431992343373382, 0.09271546518564394]",0,238
7,5.677088339769343e-23,true,4,false,0.000226,"[10.64023070218736, 1.0189632143376595]","[-0.7590535993444354, 0.9209639329677229]",0,238
8,8.361428235584731e-23,true,4,false,0.000233,"[10.640230702126809, 1.018963214341313]","[0.745620993889791, -2.216096423049429]",0,238
9,3.8854514707261566e-23,true,4,false,0.0002146,"[10.640230702236362, 1.0189632143347027]","[0.8442354651341021, -0.3265277272261217]",0,238
10,5.841917237511022e-23,true,4,false,0.0002201,"[10.640230702183223, 1.018963214337909]","[-1.0120757369891493, 1.1470306234136702]",0,238
11,4.6704130552077523e-23,true,4,false,0.0002172,"[10.640230702213612, 1.0189632143360752]","[0.7232770971838263, -0.728534008508048]",0,238
12,2.6538465850298326e-23,true,4,false,0.0003403,"[10.640230702276941, 1.018963214332254]","[0.5202990342876057, 1.1204520037446837]",0,238
13,1.0556318486372126e-23,true,4,false,0.0002681,"[10.640230702348317, 1.018963214327947]","[1.6996228215478644, 1.0844860147154771]",1,238
14,8.543274477439981e-23,true,4,false,0.0002477,"[10.640230702123262, 1.0189632143415273]","[-1.0989445324831357, -0.0993402202293609]",0,238
15,2.521431736922663e-23,true,4,false,0.0002341,"[10.640230702281693, 1.0189632143319671]","[1.5447563259135333, -0.22651795438142638]",0,238
16,3.948906074676876e-23,true,4,false,0.0002241,"[10.64023070223433, 1.018963214334825]","[1.7376928272513674, -1.2953938355637125]",0,238
17,1.3034746394870949e-22,true,4,false,0.0002333,"[10.640230702041467, 1.0189632143464629]","[-1.3972500397371668, -1.1529219835943225]",0,238
18,6.766110442380154e-23,true,4,false,0.0002255,"[10.64023070216134, 1.0189632143392295]","[-0.27322961221704645, -0.5101173409267433]",0,238
19,9.222985881134485e-23,true,4,false,0.0002247,"[10.640230702109672, 1.0189632143423473]","[-1.7983567634893314, 0.8231200506166791]",0,238
20,7.440698054982545e-23,true,4,false,0.0002116,"[10.640230702146265, 1.018963214340139]","[-0.6634712267123949, -0.2399591176621829]",0,238
1,5.019444913383966e-27,true,3,false,0.0003309,"[2.569621711527444, 1.1815784588790965]","[0.03833248646601629, 0.213845359778582]",0,239
2,3.997486791021988e-26,true,3,false,0.0002542,"[2.569621711523789, 1.1815784588793352]","[-0.7042838077754542, -0.4007992090593657]",0,239
3,1.4857945679792608e-22,true,2,false,0.0002071,"[2.5696217111796766, 1.1815784589018161]","[1.4214984593810815, -0.5777261953257666]",0,239
4,3.5983442137198124e-26,true,3,false,0.000217,"[2.5696217115240847, 1.181578458879316]","[-0.4658959078249555, -0.7303008298610437]",0,239
5,1.7704108139874557e-25,true,3,false,0.0001902,"[2.5696217115173434, 1.1815784588797564]","[-1.365080912437378, -1.3208174975844296]",0,239
6,1.5985661631951623e-24,true,2,false,0.00015,"[2.5696217114932747, 1.1815784588813285]","[0.5431992343373382, 0.09271546518564394]",0,239
7,4.197690640128516e-27,true,3,false,0.0001864,"[2.5696217115276094, 1.1815784588790856]","[-0.7590535993444354, 0.9209639329677229]",0,239
8,3.3776818295717113e-23,true,3,false,0.0001738,"[2.5696217113627173, 1.1815784588898577]","[0.745620993889791, -2.216096423049429]",0,239
9,4.0480146061002263e-23,true,2,false,0.000192,"[2.569621711711993, 1.1815784588670386]","[0.8442354651341021, -0.3265277272261217]",0,239
10,1.0184326607755437e-26,true,3,false,0.0002168,"[2.5696217115268256, 1.181578458879137]","[-1.0120757369891493, 1.1470306234136702]",0,239
11,3.213111930733069e-28,true,3,false,0.0002231,"[2.569621711529464, 1.1815784588789646]","[0.7232770971838263, -0.728534008508048]",1,239
12,2.666863415546488e-26,true,2,false,0.0001489,"[2.569621711524884, 1.1815784588792637]","[0.5202990342876057, 1.1204520037446837]",0,239
13,3.2776901115478747e-24,true,1,false,0.0001095,"[2.5696217115814584, 1.1815784588755673]","[1.6996228215478644, 1.0844860147154771]",0,239
14,6.209728901454889e-26,true,3,false,0.0001729,"[2.5696217115223816, 1.1815784588794271]","[-1.0989445324831357, -0.0993402202293609]",0,239
15,1.528301426004725e-23,true,2,false,0.0001346,"[2.5696217116416324, 1.1815784588716358]","[1.5447563259135333, -0.22651795438142638]",0,239
16,1.9149766935384936e-22,true,2,false,0.0002422,"[2.569621711132455, 1.1815784589049]","[1.7376928272513674, -1.2953938355637125]",0,239
