idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
11,1.2680491344328326e-28,true,14,false,0.000292,"[6.432766907599615, 1.0647441234256532]","[1.2192815097319654, 1.9026327297429109]",1,147
3,1.9740228968592758e-29,true,14,false,0.0002863,"[5.5352904605813675, 1.1629192198232063]","[-1.1046361023292959, 0.18025374632691527]",1,148
13,1.30676688423268e-30,true,14,false,0.0003018,"[5.764818037403676, 1.149382001194022]","[-0.031148130349280094, 0.3646547529502906]",1,149
5,3.769039211061948e-30,true,14,false,0.0003026,"[6.778573742908885, 1.0908413147638412]","[0.28758798062385577, -0.12763690272983585]",1,150
16,1.0281180193884462e-28,true,14,false,0.0002551,"[8.478420576018962, 0.9595488148430098]","[-0.8900766562698114, -1.2890210708540353]",1,151
15,1.0273418775480966e-29,true,14,false,0.0002658,"[7.130833623332369, 1.044516462868974]","[-2.1623790026403724, 0.1706378785324274]",1,152
20,2.506143825280936e-30,true,14,false,0.0002636,"[5.328604455112232, 1.148401011234876]","[-0.33745447783309457, 0.12530157347367626]",1,153
8,6.028941330370102e-30,true,14,false,0.0003215,"[5.559361346540973, 1.1287914864449768]","[-1.355590621101197, 0.6001322727540475]",1,154
10,3.748075351031049e-30,true,14,false,0.0002784,"[4.880392959694937, 1.212211458438925]","[-0.11732280453081337, -0.8280567719469374]",1,155
20,8.70417426659643e-30,true,14,false,0.0002637,"[5.15775223315404, 1.2291086293744113]","[-0.33745447783309457, 0.12530157347367626]",1,156
4,7.341998026244494e-31,true,14,false,0.0003136,"[4.564132580294349, 1.2364808515406076]","[-0.4169926351649334, 2.0289114854525314]",1,157
18,2.5589573268330973e-30,true,14,false,0.0002739,"[4.468436876276579, 1.2057500909619034]","[0.3417821366484886, 0.5080857763662175]",1,158
10,3.1820733070118896e-30,true,14,false,0.0002964,"[6.660408090195697, 1.0907474908336035]","[-0.11732280453081337, -0.8280567719469374]",1,159
12,2.42157133480255e-30,true,14,false,0.0002567,"[2.8089153003903307, 1.3600382841575789]","[0.29291433452245674, 0.6596379523048166]",1,160
3,2.669616303752214e-29,true,14,false,0.0002972,"[4.523732083936336, 1.2122696716381127]","[-1.1046361023292959, 0.18025374632691527]",1,161
7,2.3277410433766947e-29,true,14,false,0.0002919,"[2.7040317611173763, 1.3685769848404157]","[-0.4217686643996927, -1.5268834666380147]",1,162
5,1.659223924760951e-29,true,14,false,0.0002707,"[3.8809774593522928, 1.252227160300096]","[0.28758798062385577, -0.12763690272983585]",1,163
20,2.9498071186594433e-30,true,14,false,0.0003478,"[7.815684821135477, 0.9891016800610692]","[-0.33745447783309457, 0.12530157347367626]",1,164
